BetweennessCentrality,ClosenessCentrality,ClusteringCoefficient,EdgeCount,Indegree,NeighborhoodConnectivity,Outdegree
0,0,0.023809524,42,42,69.5,0
2.137714172,0.485019904,0.055618295,261,34,127.9407115,227
0.957603736,0.33280621,0.078571429,37,22,103.0277778,15
0,0,0.107142857,29,29,81.93103448,0
0.42934906,0.382391807,0.061463047,54,26,99.76923077,28
0,0,0.122222222,10,10,95.7,0
0,0,0.152217742,32,32,196.03125,0
0.432932884,0.338896208,0.088171263,54,36,157.490566,18
0,0,0.204545455,12,12,132.9166667,0
0,0,0.106060606,12,12,140.9166667,0
3.94E-04,0.130444582,0.1375,16,14,126.625,2
0,0,0.20952381,15,15,160.3333333,0
0.106557597,0.149857587,0.08496732,18,17,115.1666667,1
0,0,0.150735294,17,17,160.2941176,0
0.175170276,0.343420857,0.141025641,41,30,131.025,11
1.633291402,0.417417959,0.138039216,55,30,193.9019608,25
0.003965905,0.213659437,0.094771242,18,17,92,1
0.123477581,0.315223312,0.116923077,27,21,122.9615385,6
0.042109949,0.348277418,0.200738916,31,15,130.9655172,16
0.405644852,0.243940991,0.100600601,37,35,115.1621622,2
0,0,0.150197628,23,23,150.8695652,0
0,0,0.181818182,12,12,186.6666667,0
0.812694348,0.351823708,0.083137255,52,29,100.1960784,23
0.187937149,0.297557841,0.163306452,34,30,156.25,4
0.037050797,0.341445428,0.177536232,24,18,152.875,6
0.84419995,0.405074366,0.057989691,101,35,134.2061856,66
0.947568277,0.32246831,0.127705628,23,22,154,1
0,0,0.08,25,25,168.56,0
0,0,0.1,15,15,138.2666667,0
0.216320267,0.352144813,0.094726062,65,31,129.7142857,34
0,0,0.087290819,67,67,125.8059701,0
1.005515808,0.348749623,0.126153846,27,16,137.0769231,11
0.656802979,0.373628147,0.107686454,76,31,125.9863014,45
0,0,0.224264706,17,17,185.4705882,0
0,0,0.125541126,22,22,155.2727273,0
0,0,0.117647059,17,17,116.8823529,0
0,0,0.151260504,35,35,166.8285714,0
0.013051672,0.308378846,0.123376623,23,16,128.6818182,7
0.096729758,1,0.081746032,36,34,168.6111111,2
0,0,0.054347826,24,24,88.33333333,0
0,0,0.076923077,13,13,173.6153846,0
0,0.362725137,0.054166667,81,0,65.58024691,81
0,0,0.028947368,20,20,33.7,0
0.560530569,0.204812882,0.091173055,43,39,144.9761905,4
1.32678455,0.369985616,0.083641975,88,57,100.1728395,31
0.403544371,0.347284728,0.101282051,43,26,116.05,17
0.393018741,0.371291099,0.075135135,77,30,121.2933333,47
1.805031216,0.306297962,0.11236579,77,74,169.5405405,3
0.744246405,0.336580401,0.13989071,62,53,180.5737705,9
1.844157113,0.41346669,0.089681903,90,53,156.5057471,37
0,0,0.132984901,42,42,164.0714286,0
0,0,0.178571429,28,28,164.4285714,0
4.842350355,0.434171043,0.061600502,213,117,135.4901961,96
3.344623398,0.337660443,0.047741034,117,105,114.7105263,12
